대여소_ID,대여건수,반납건수,총이용건수,주소1,주소2,위도,경도
ST-2031,166980.0,168515.0,335495.0,서울특별시 강서구 마곡중앙5로 2 마곡나루역(9호선),,37.566925,126.827438
ST-99,110667.0,120044.0,230711.0,서울특별시 광진구 능동로 10,뚝섬유원지역 1번출구 앞,37.53186,127.067192
ST-1718,110743.0,111626.0,222369.0,서울특별시 강서구 마곡중앙5로 지하 2,마곡나루역(공항철도) 5번출구 뒤편,37.565201,126.827316
ST-2045,109974.0,109671.0,219645.0,서울특별시 강서구 마곡동로 115,,37.565804,126.828079
ST-891,107742.0,107494.0,215236.0,서울특별시 송파구 올림픽로 293-19,송파구 신천동 28,37.513126,127.10096
ST-2905,103864.0,111214.0,215078.0,서울특별시 마포구 망원로 1-1 토목과 자재창고,,37.555576,126.896889
ST-1065,95389.0,94754.0,190143.0,서울특별시 강서구 마곡동 797-5,,37.558949,126.837173
ST-413,90482.0,90259.0,180741.0,서울특별시 영등포구 당산로 111-2,영등포구청역 1번출구,37.524635,126.896217
ST-1660,69565.0,75802.0,145367.0,서울특별시 광진구 능동로 92 롯데백화점,,37.539295,127.070786
ST-702,69884.0,72914.0,142798.0,서울특별시 관악구 신림동 1467-13,,37.484085,126.926888
ST-1681,70122.0,71733.0,141855.0,서울특별시 송파구 올림픽로 326 송파구청,,37.514992,127.106117
ST-73,71114.0,67814.0,138928.0,서울특별시 영등포구 여의동로 지하343,여의나루역 1번출구 앞,37.527157,126.9319
ST-522,69004.0,69191.0,138195.0,서울특별시 강서구 내발산동 645,,37.558178,126.838455
ST-668,67567.0,68628.0,136195.0,서울특별시 구로구 시흥대로 577-2,구로구 구로동 1119,37.48494,126.901321
ST-2871,66953.0,68085.0,135038.0,서울특별시 강서구 강서구 마곡동 798,,37.559746,126.824387
ST-18,60162.0,72837.0,132999.0,서울특별시 마포구 동교동 192-44,,37.557438,126.923821
ST-664,66375.0,66431.0,132806.0,서울특별시 구로구 경인로 688,구로구 신도림동 348-1,37.50972,126.890099
ST-2011,65508.0,66129.0,131637.0,서울특별시 양천구 신정동 321-8,,37.517475,126.866325
ST-1995,63754.0,65972.0,129726.0,서울특별시 양천구 목동서로 159-3 가로판매대2,,37.527855,126.874672
ST-1731,62291.0,65792.0,128083.0,서울특별시 양천구 목동동로 270,오목교역 3번출구,37.524776,126.875481
ST-3142,58658.0,67485.0,126143.0,서울특별시 영등포구 경인로 846 영등포 민자역사,,37.516693,126.908073
ST-1251,62457.0,62861.0,125318.0,서울특별시 강서구 양천로 지하 341,양천향교역 7번출구 앞,37.56768,126.840897
ST-1938,59099.0,65296.0,124395.0,서울특별시 금천구 벚꽃로 298 대륭포스트타워6차,,37.480888,126.883804
ST-3094,57767.0,64271.0,122038.0,서울특별시 강서구 화곡로 416 가양역 더스카이밸리5차 지식산업센터,,37.560196,126.854912
ST-2815,60309.0,60744.0,121053.0,서울특별시 영등포구 영등포구 영등포4가 442-6,,37.518036,126.903648
ST-3214,58326.0,61941.0,120267.0,서울특별시 송파구 오금로 113 석촌씨티빌딩,,37.512291,127.108253
ST-1661,58431.0,60337.0,118768.0,서울특별시 광진구 아차산로 238,,37.540081,127.069565
ST-2017,58858.0,58700.0,117558.0,서울특별시 양천구 오목로 299 목동트라팰리스,,37.525372,126.870926
ST-2876,58629.0,58484.0,117113.0,서울특별시 송파구 송파구 방이동 40-6,,37.517078,127.112328
ST-1730,57233.0,59823.0,117056.0,서울특별시 송파구 오금로 162,송파나루역 4번 출구옆,37.509979,127.112312
ST-1720,58566.0,58356.0,116922.0,서울특별시 송파구 양재대로 지하 1233,올림픽공원역 3번출구,37.516258,127.130592
ST-2007,57726.0,59125.0,116851.0,서울특별시 양천구 신정동 1278-2,,37.517593,126.876556
ST-426,57053.0,59580.0,116633.0,서울특별시 영등포구 당산로52길 3,당산육갑문,37.535339,126.903679
ST-2037,57560.0,57182.0,114742.0,서울특별시 강서구 마곡동 727-1243,,37.563206,126.839363
ST-493,57379.0,57209.0,114588.0,서울특별시 강동구 천호대로 1005 현대백화점,,37.538666,127.124245
ST-295,56930.0,57202.0,114132.0,서울특별시 영등포구 당산로 222 당산디오빌,,37.533421,126.902237
ST-1064,55891.0,58191.0,114082.0,서울특별시 강서구 마곡동 728-168,마곡역7번출구,37.558311,126.826523
ST-2557,56920.0,57089.0,114009.0,서울특별시 강서구 강서구 화곡로 347,,37.555107,126.851547
ST-1263,55698.0,55720.0,111418.0,서울특별시 광진구 천호대로 지하 550,군자역 7번출구 뒤,37.556862,127.07914
ST-1351,55320.0,55198.0,110518.0,서울특별시 강서구 강서로62길 48,강서구립등빛도서관,37.562569,126.842461
ST-600,52274.0,57612.0,109886.0,서울특별시 노원구 월계동 47-37,,37.615181,127.064644
ST-1420,54649.0,54990.0,109639.0,서울특별시 강동구 양재대로 1349,,37.526783,127.135574
ST-2033,51026.0,58523.0,109549.0,서울특별시 강서구 마곡중앙8로 71 엘지사이언스파크,,37.561337,126.8339
ST-1223,52713.0,56768.0,109481.0,서울특별시 구로구 구로동 3-42,,37.508183,126.891335
ST-376,52419.0,55074.0,107493.0,서울특별시 성동구 마장로39길 51,청계천 생태교실 앞,37.56797,127.04689
ST-1996,52138.0,55327.0,107465.0,서울특별시 양천구 목동 927-10,,37.525715,126.864868
ST-513,53549.0,53371.0,106920.0,서울특별시 강서구 마곡서로 175,강서구 마곡동 754-6,37.568577,126.824776
ST-2726,51448.0,54870.0,106318.0,서울특별시 도봉구 도봉구 창동 1-12,,37.653736,127.049294
ST-2050,53239.0,52661.0,105900.0,서울특별시 강서구 마곡중앙1로 71 마곡 13단지 힐스테이트 마스터,,37.558632,126.819916
ST-446,51705.0,53034.0,104739.0,서울특별시 성동구 성수동2가 569-3,성수2가1동 공영주차장 인근,37.536808,127.055489
ST-2308,51583.0,53114.0,104697.0,서울특별시 광진구 화양동 4-1,,37.539566,127.072441
ST-3105,51578.0,52619.0,104197.0,서울특별시 동작구 보라매로5길 24,,37.492943,126.924622
ST-2718,51077.0,52785.0,103862.0,서울특별시 노원구 노원구 중계동 504-2,,37.639664,127.060417
ST-506,51287.0,52426.0,103713.0,서울특별시 성동구 아차산로 100,성수동2가 315-105,37.544159,127.056656
ST-1063,51416.0,51958.0,103374.0,서울특별시 강서구 공항대로 163 마곡역(5호선),,37.560207,126.824142
ST-2820,51458.0,51398.0,102856.0,서울특별시 영등포구 영등포구 선유로9길 30,,37.518002,126.884598
ST-914,51384.0,51461.0,102845.0,서울특별시 노원구 상계로 182,노원구 상계동 173-19,37.66,127.072968
ST-502,50051.0,52503.0,102554.0,서울특별시 강동구 성내동 434-28,,37.526794,127.130058
ST-1121,50334.0,51372.0,101706.0,서울특별시 노원구 상계동 335-4,노원역1번출구,37.6562,127.063622
ST-3104,48197.0,52509.0,100706.0,서울특별시 양천구 오목로 245 목동역,,37.526531,126.864456
ST-2574,48413.0,51611.0,100024.0,서울특별시 송파구 올림픽로43길 88,,37.52478,127.109131
ST-243,50191.0,49696.0,99887.0,서울특별시 성동구 용답동 224-3,장안평역 8번 출구 앞,37.561371,127.06366
ST-366,47180.0,52269.0,99449.0,서울특별시 성동구 옥수동 192-2,,37.541367,127.017761
ST-827,47641.0,51768.0,99409.0,서울특별시 성북구 안암로 69,안암로터리 버스정류장,37.582592,127.028976
ST-47,49286.0,49900.0,99186.0,서울특별시 영등포구 여의공원로 101,101,37.528816,126.92453
ST-611,47829.0,50642.0,98471.0,서울특별시 노원구 노해로 489,노원구 상계동 719-1,37.654701,127.0634
ST-1249,48343.0,48993.0,97336.0,서울특별시 강서구 양천로 지하 485,가양역 8번출구,37.561035,126.854813
ST-262,45105.0,51119.0,96224.0,서울특별시 동대문구 장한로 25길 2,장안동 사거리,37.572174,127.071388
ST-315,47227.0,48564.0,95791.0,서울특별시 양천구 신정동 319-3,서울출입국관리사무소 앞,37.51897,126.869965
ST-1352,48617.0,46897.0,95514.0,서울특별시 강서구 내발산동 751-3,,37.553509,126.825867
ST-198,46684.0,48669.0,95353.0,서울특별시 중구 다산로 258 리마크빌 동대문,,37.565918,127.016426
ST-3187,47395.0,47573.0,94968.0,서울특별시 영등포구 당산로 220-2 구두수선대50,,37.53363,126.901459
ST-2487,47856.0,46850.0,94706.0,서울특별시 강서구 공항대로45길68-6,,37.557552,126.856255
ST-2822,47205.0,47447.0,94652.0,서울특별시 영등포구 국회대로50길 20 포레나 영등포,,37.523415,126.905403
ST-1061,46261.0,48178.0,94439.0,서울특별시 강동구 천호동 42-1,,37.545406,127.142677
ST-1017,47109.0,47134.0,94243.0,서울특별시 양천구 목동 902-5,목동2단지 상가,37.536503,126.877747
ST-2035,43503.0,50716.0,94219.0,서울특별시 강서구 마곡중앙8로 32 스페이스K 서울,,37.561211,126.830345
ST-417,46327.0,47187.0,93514.0,서울특별시 영등포구 선유로 34,근로자회관 사거리,37.517151,126.888626
ST-2749,45030.0,48379.0,93409.0,서울특별시 강동구 양재대로 1465 마루홈타운,,37.536854,127.139488
ST-547,45840.0,47508.0,93348.0,서울특별시 송파구 백제고분로 95,송파구 잠실동 19-10,37.511982,127.085052
ST-975,46296.0,46482.0,92778.0,서울특별시 강서구 마곡서1로 111-12,신방화역환승주차장,37.567284,126.818275
ST-919,46225.0,46191.0,92416.0,서울특별시 구로구 경인로 445,구로구 고척동 63-3,37.499889,126.867699
ST-289,46888.0,45487.0,92375.0,서울특별시 영등포구 문래동3가 55-12,문래역 4번출구 앞,37.518738,126.895576
ST-2056,46217.0,46086.0,92303.0,서울특별시 강서구 내발산동 741-2,,37.553631,126.828613
ST-2398,46083.0,46169.0,92252.0,서울특별시 양천구 신정동 332-2,,37.515156,126.87249
ST-503,45841.0,46235.0,92076.0,서울특별시 강동구 성내로 57 강동경찰서,,37.528252,127.126801
ST-2812,46134.0,45524.0,91658.0,서울특별시 영등포구 영등포구 양평동3가 22-1,,37.525726,126.886002
ST-2310,45780.0,45046.0,90826.0,서울특별시 광진구 화양동 24-33,,37.54435,127.065407
ST-2264,39331.0,51172.0,90503.0,서울특별시 은평구 연서로 9 센타폴리스,,37.599968,126.915726
ST-1990,42600.0,46727.0,89327.0,서울특별시 영등포구 영등포동 618-9,,37.514847,126.90773
ST-834,44443.0,44801.0,89244.0,서울특별시 강서구 공항대로 329,강서구 등촌동 675-7,37.558197,126.844261
ST-997,44218.0,44933.0,89151.0,서울특별시 양천구 목동중앙로 49,목동3단지 시내버스정류장,37.53439,126.869598
ST-3251,39319.0,49211.0,88530.0,서울특별시 강서구 마곡중앙10로 70 LG사이언스파크,,37.563496,126.835831
ST-1069,41821.0,46290.0,88111.0,서울특별시 강서구 화곡로 302,강서구청,37.550659,126.84977
ST-1584,44157.0,43843.0,88000.0,서울특별시 송파구 올림픽로 305,잠실역 8번출구,37.513962,127.100304
ST-735,42064.0,45857.0,87921.0,서울특별시 노원구 동일로 지하 1074,노원구 공릉동 385-4,37.626614,127.072754
ST-1118,43448.0,44449.0,87897.0,서울특별시 노원구 중계동 506-3,중계근린공원내,37.63958,127.065102
ST-311,41531.0,44996.0,86527.0,서울특별시 양천구 오목로 344 청학빌딩,,37.523628,126.875244
ST-292,42641.0,43802.0,86443.0,서울특별시 영등포구 양평동3가 48-1,이앤씨드림타워 앞,37.527084,126.89138
ST-3163,40865.0,45062.0,85927.0,서울특별시 양천구 목동 404-174,,37.52367,126.875671
